,Importance
IDH3A,0.035917655
RUFY1,0.035895858
NDUFA8,0.03587089
PCGF2,0.035727713
NBL1,0.035725433
PSMB10,0.035720333
SRRM2,0.03564241
TUBB2A,0.035432532
FECH,0.035416894
NDUFA1,0.03535502
TGIF1,0.035300113
DLD,0.03528631
HIST1H2BM,0.03520084
ATP6V1B2,0.035186484
COPS7A,0.03512973
MVD,0.035126016
VPS26A,0.035105653
FN1,0.035040148
DGKH,0.035021905
MMP15,0.035008423
KALRN,0.03496945
ANTXR2,0.0349377
STX10,0.034922175
NDUFV2,0.034863718
CBR3,0.03482898
RPL32,0.03482717
PRKCB,0.03472972
NOP58,0.034671057
SYNJ2,0.034668382
PLCE1,0.034647368
PRDX1,0.034628868
NDUFAF3,0.034592178
PI4K2A,0.034558937
CAPN1,0.03454026
ADAM17,0.03450112
IL2RA,0.034498226
ERCC3,0.034370653
MAN1A1,0.034328774
MFGE8,0.034312833
COX8A,0.03424537
TIMM50,0.03424118
RASA2,0.03421905
SH3GL1,0.03416479
NDUFS5,0.034153253
FBXW7,0.03409716
NDUFA9,0.03402736
MCCC2,0.033848934
DHFR,0.033844534
NDUFB4,0.03375116
G6PD,0.03368147
DLL4,0.033668473
EXOSC6,0.03364636
RAF1,0.0335792
STX2,0.033520393
HMGCR,0.033472534
MLH1,0.033472035
ITGB4,0.033464067
PSMD3,0.0334456
SPPL2B,0.033442263
SMAD1,0.0334288
NDUFA10,0.033400368
PSMB6,0.0333583
HIST1H2BE,0.03317228
PSMA5,0.033153653
MCPH1,0.033129483
SORBS1,0.03310618
APH1B,0.033089112
NDUFB5,0.033082534
TFIP11,0.033079
PSMA1,0.03297332
DHODH,0.03296
COL6A3,0.03293776
EXOSC4,0.03293623
RBX1,0.032845344
NDUFV3,0.03283825
PSMA3,0.03282311
H3F3A,0.032798547
NDUFB7,0.03279338
MAML3,0.032786056
PRICKLE1,0.032726668
NDUFS6,0.03272307
DHRS9,0.032697506
CHSY3,0.03263593
CHPT1,0.032600753
HIST1H2BD,0.03259632
WASF3,0.03259408
RNF41,0.0325631
IDUA,0.03253554
THBS1,0.03251471
ATP5L,0.03250496
TACC3,0.032498103
ULK3,0.032492146
ORC5,0.032477707
PSMC1,0.03246457
MAML1,0.032453164
EXOSC2,0.032434806
CTCF,0.032419886
WASF1,0.032393545
GIT1,0.032351233
SKP1,0.03233779
RBL1,0.032297757
NDUFS2,0.03229326
YBX1,0.032280564
SEMA7A,0.032262452
AKT1,0.03223923
PSEN1,0.03218133
SNRPC,0.032142717
HIST1H3B,0.032092713
SFRP2,0.032035977
AXIN1,0.0320082
STAG2,0.031979054
FAH,0.03195146
NDUFS4,0.03193776
ATP5G1,0.031883862
HIST1H2BB,0.03187161
CST3,0.03186944
PLD1,0.03184636
UPRT,0.031831566
COL7A1,0.03183044
ADAM9,0.031820327
MAP3K1,0.031799227
SRP72,0.0317928
CREB1,0.031718995
MMP2,0.031683087
CHEK2,0.031675257
IFIT2,0.031638812
HMGB1,0.031608302
FYN,0.031582724
NDUFS3,0.03157674
UBC,0.03152696
EXOSC5,0.03152334
POLR2E,0.031505957
HIST1H3F,0.03147243
RAC3,0.03141687
HIST1H2BI,0.03137758
NDUFS1,0.03136972
PHKA2,0.03136756
PRPF40A,0.031355802
LAMB3,0.031339236
HIST1H3A,0.031324096
ACYP1,0.031309716
CHCHD1,0.03126652
PSMB2,0.031225545
PIK3R2,0.031224811
HIST1H2BC,0.031197265
SP1,0.03116541
PTPRC,0.031104114
PSME1,0.031061338
PIK3CB,0.031059826
HIST1H4E,0.03104979
ATP11B,0.031043435
GATM,0.031041436
COQ2,0.031028898
KDM6A,0.031005189
PSMD12,0.030963557
ST3GAL4,0.03095511
PSMD8,0.030936835
MAPK8,0.030898673
SF3A2,0.0308964
RAD23B,0.030860148
GSN,0.030849101
POLR2G,0.030789431
INPPL1,0.030731853
PPP2R5E,0.03072025
MCM2,0.030654753
RPS20,0.030612456
CARD8,0.030568598
EGFR,0.030563269
FURIN,0.030561307
RPS11,0.030543672
TJP1,0.030481817
DCP2,0.03046085
POLD4,0.030436384
SF3B2,0.0304361
POLK,0.030433731
SF3A3,0.03042793
PLCH1,0.030406885
CFL2,0.03040539
ILK,0.030370316
TNFRSF10B,0.030335749
EIF3H,0.030255217
HIST1H3C,0.030251706
PSMD7,0.030211557
MAPK3,0.030184094
HIST1H2AJ,0.030171042
LIMK1,0.030119186
NFKB1,0.030113898
CTSB,0.030098569
PIK3R5,0.03008575
PPP2R5B,0.030009862
H3F3B,0.029998247
TNFRSF10A,0.02993257
SRSF10,0.029881923
MMP14,0.029867843
SMNDC1,0.029816011
PHC2,0.02979324
SNRPG,0.029774236
NUP155,0.029701024
EIF4E2,0.029663358
AHCYL2,0.029662907
PCBP1,0.029638048
ASAP2,0.029629843
MAPK11,0.029618172
TBL1X,0.029572517
PLXNC1,0.029561393
ITGAV,0.029559813
SRSF9,0.029535327
IKBKB,0.02951126
MRPL42,0.029506324
POLR1A,0.02949999
HIST1H4C,0.029439196
DUSP5,0.029420184
PSMD4,0.029419558
NDUFS7,0.02936919
LEMD3,0.029356953
RPS28,0.029322332
SUPT16H,0.029321088
GCSH,0.029301357
CTPS2,0.029290069
TEAD3,0.029289735
YWHAE,0.02925234
ASNS,0.029231464
HIST1H4L,0.029221497
ACOX1,0.029188108
OAZ1,0.029159067
EHMT1,0.029149652
SLC27A2,0.029142871
HIST1H3D,0.029139724
COL6A2,0.029086374
RPS8,0.029044436
GABARAPL1,0.029041547
H2AFV,0.029031288
ATF4,0.029027615
TLR3,0.029012138
ITGB3,0.029003384
TREM2,0.028956557
CASP7,0.028955491
SNRPB2,0.028942717
ANTXR1,0.02893904
NLRP3,0.028933706
MTHFD1,0.02890209
DNMT3A,0.028876549
AP4S1,0.0288759
UBE2N,0.02885615
PSMB1,0.028851917
SSRP1,0.02884478
MAPK9,0.028837303
FGD2,0.028798753
NUDT15,0.02877357
APH1A,0.028768621
PRDX3,0.028759703
UBB,0.02873334
NDUFV1,0.028725062
NUDT19,0.02871937
PSME2,0.028718345
NFKB2,0.028701331
GM2A,0.028693413
MECOM,0.02860812
PSMD13,0.028524771
HIST1H2BL,0.028522998
ULK1,0.028504018
DECR2,0.02849549
TJP2,0.028493378
PRPF3,0.028493043
PLXNA2,0.0284876
PPP2R5C,0.028457785
MITF,0.02844934
NUP188,0.028419843
PRDX5,0.028386183
TMEM55B,0.028359449
CD247,0.028276594
TLR4,0.028273495
COL4A3,0.028265709
MAPK13,0.028255954
CR1,0.028250316
C1GALT1,0.02821308
SF3B1,0.028202925
PSME4,0.028181888
LIAS,0.028168371
TCF7,0.0281638
PARP1,0.028138284
HRAS,0.028116755
TGFB3,0.028110402
STX17,0.028068867
PDPK1,0.028038435
SNRNP70,0.028038062
NUDT21,0.028036697
CACNA1D,0.028015792
SNX6,0.028015032
B2M,0.02800381
ALDH1B1,0.027994568
KCNQ1,0.027974157
TCEB2,0.027972091
NUP43,0.027956253
DUSP10,0.027932292
AKT2,0.027924983
PRDX6,0.027920716
PRKCA,0.027920632
GNG5,0.027915021
SRRM1,0.02791331
RPS6KB2,0.027899738
SMURF2,0.027874177
BRAF,0.027868338
PIK3C2A,0.02783561
ANAPC16,0.02783192
VTI1A,0.027827932
LCK,0.02781278
MME,0.02780609
RAB1A,0.02773846
NUDT1,0.027733563
JAK1,0.02770027
RHOA,0.027676417
VPS25,0.027666124
ECHS1,0.027661135
NUP98,0.027654089
POLR1D,0.027652485
RPS6KA1,0.027620532
ITGB5,0.02761641
TRAPPC4,0.02761317
ATP11A,0.027583446
SMURF1,0.027582927
CDH1,0.027553612
ATP1B1,0.027549896
PABPN1,0.027544124
HIST1H2BF,0.027541896
RPL15,0.027540572
ANAPC5,0.027540086
FOXO4,0.027537178
RFC3,0.027531207
XRCC1,0.02752698
PIP4K2B,0.027507344
DBF4,0.027503893
DNM1,0.027486125
G0S2,0.027484627
PCF11,0.027470954
DNAJC3,0.02744429
ACTG1,0.027434783
ATP6V1H,0.02743315
ALG14,0.027431343
GLO1,0.027404694
CDC26,0.027348625
COL4A2,0.027340265
TAF3,0.027332652
SLU7,0.027324295
PTGES3,0.027311035
CDC16,0.027280271
AP2M1,0.027276492
VANGL2,0.027273064
CARD6,0.02726933
NDUFB10,0.02725328
HIST1H2BH,0.02720695
PPP2R1A,0.027183104
NUBPL,0.027173527
PLRG1,0.027171507
NOX4,0.027167933
RPL31,0.027163396
RPS6,0.027155623
ADCY9,0.027154857
HADHA,0.027092053
POLR3D,0.027086267
CHST12,0.027048402
RBM8A,0.027043482
FBXO5,0.027037343
CCNA2,0.027035734
PRPF31,0.027030867
RPS13,0.027029183
SMPD2,0.02702061
RASA3,0.027019786
TGFB1,0.02700584
SGPL1,0.027005497
TLR7,0.026993232
RPS2,0.026980106
RGS3,0.026978146
PSMD5,0.026973028
SGMS1,0.026964603
RFC5,0.026961066
C5AR1,0.026941448
ICAM1,0.0269204
KCNQ5,0.02687631
MDH2,0.026864674
STX5,0.026848506
KCNJ13,0.02683891
PAK2,0.026827065
GNA11,0.026825113
GSK3B,0.026823847
SEH1L,0.026786657
GINS2,0.026785323
CUL1,0.026758462
CHST15,0.026756754
ACSS1,0.02672557
SRSF3,0.026725497
RFC1,0.026717953
RPS12,0.02671667
MDM2,0.026709355
ECHDC1,0.026707508
SOD3,0.02670585
IRF7,0.026697608
RELA,0.026667263
ZNF2,0.026662195
PIK3C3,0.026658101
PLXNB2,0.026656235
ITGB1,0.026639141
CCND2,0.02659571
DNASE2,0.02659047
ITGA5,0.026588676
AP1S1,0.026586886
TIMM10,0.026583765
UNC5B,0.026574804
PPARA,0.026557691
SLIT2,0.026545074
COL17A1,0.026537191
PPP2R5D,0.026523298
PSMF1,0.026510812
TRAF3,0.026507247
PPIE,0.026502939
CFI,0.026498515
HIST1H3H,0.026484042
TXN,0.02645498
HLA-DQA1,0.02639876
RPL10,0.026385821
CACNA1C,0.026364429
NUP85,0.026341783
NR1D2,0.026338298
RPL10A,0.026338127
MRPS14,0.026334051
TXN2,0.026327264
ITGAL,0.02632521
PTPN6,0.02630638
RPL19,0.02629901
LAMA2,0.026282843
NUP133,0.026280396
NXT1,0.026253732
TXNRD2,0.026238188
TPRKB,0.026236743
RPL12,0.026227484
IL6R,0.026224425
SIAH1,0.026217708
NDUFC2,0.026198808
IL4R,0.026189856
FBP1,0.026189178
DVL3,0.026184585
ECI1,0.026182547
NDUFB11,0.026178634
IGF1,0.026172658
ZMAT5,0.026161186
SMARCD3,0.026158951
POLR2K,0.026155323
CASP1,0.02615392
POLR2D,0.026147531
U2AF1L4,0.026144326
CHST11,0.02614427
COPS5,0.02613064
TK1,0.026130522
SYVN1,0.026128955
AP4M1,0.026102066
ANAPC10,0.02609957
CHPF,0.026099011
WWC1,0.026092296
MYD88,0.026087161
CEP57,0.026085075
TRMT61A,0.026083043
TMEM189-UBE2V1,0.026079206
E2F1,0.026042432
KAT5,0.026041705
BCL2,0.025975674
C1S,0.025972752
AP1S2,0.0259657
NRP1,0.025961274
AP4B1,0.025960695
CDC37,0.025956465
ITGA11,0.025954148
RPS19,0.025953278
BAP1,0.025946846
APAF1,0.025931755
WNT7B,0.025928957
PSMB5,0.025924671
DVL2,0.025909292
PFKFB4,0.025906738
GTF2E1,0.025901375
SIN3A,0.025899833
RPL27,0.02589806
HMGCS1,0.025894176
ERG,0.02589196
MERTK,0.025886813
SUFU,0.025884172
ALDH9A1,0.0258792
U2AF2,0.025876718
WDR43,0.025860533
HLA-A,0.025847461
ACADM,0.02581976
ATP6V0A1,0.02581689
FOPNL,0.025813214
LDHB,0.025809983
NFATC4,0.02579244
NFKBIB,0.025786372
UBE2L6,0.025784101
NUP205,0.025780752
C1QC,0.025760133
RPL23,0.025755905
HIST1H2BN,0.025753494
COL21A1,0.025748977
BACH2,0.025747655
ANAPC7,0.025746644
SLC47A1,0.02574596
SPTLC2,0.025728894
ARHGAP28,0.025727611
ANAPC4,0.025711881
STX8,0.025711473
PEX19,0.025711238
CCND1,0.025704304
WBP11,0.025697943
LAMA4,0.02569525
ZNF792,0.025694897
CCL4,0.02569311
SLC6A14,0.025687855
FCGR3A,0.025686683
MGP,0.025686411
LRFN4,0.02568355
SRSF6,0.02568254
POLR3C,0.025677595
ICOSLG,0.025675425
SHROOM3,0.025671473
MPP3,0.02566818
ATP6V0B,0.025662722
SNORA71C,0.025662513
ADH5,0.025658503
IKZF4,0.025658216
NSUN2,0.025657149
C5orf28,0.025656333
PSMC6,0.025655853
TSPAN14,0.025654444
TBC1D9,0.02565435
EMP3,0.025651934
OS9,0.025651194
KIF2C,0.025649184
EIF3E,0.025648272
XRCC6BP1,0.025647273
NUPL2,0.025644556
KIAA0895L,0.02564248
C2orf44,0.025636638
RNF166,0.025635803
VAMP3,0.025632283
ING3,0.025631297
TMEM54,0.025630107
ASAH2B,0.025629675
ANO6,0.025626218
TTC31,0.025622377
MAGEH1,0.025618074
SREK1IP1,0.025617087
UBA2,0.02561626
SIRT2,0.025615573
PLA2G7,0.025614465
CHD8,0.025611527
GPR174,0.02560786
UBE2D3,0.025606906
DOCK6,0.025605785
PRKAB2,0.025604239
PDP1,0.02560247
ICT1,0.025601985
LRRFIP1,0.025593432
ARMCX5-GPRASP2,0.025593035
FAM20C,0.02559173
UBE2G1,0.025589988
RSPH3,0.025588596
RAB40C,0.025587674
VAPB,0.025586665
AKR1E2,0.025585897
CEBPB,0.02558473
BFAR,0.025582794
TSPAN13,0.025579331
PDE4A,0.025577813
RSAD2,0.025576502
HDAC10,0.025574997
PIGM,0.02557051
TMEM59,0.025566934
THSD1,0.025566818
TAX1BP3,0.025566792
COX19,0.025563708
PC,0.025562651
ZBTB1,0.025561845
RNASEH2C,0.025558498
ZADH2,0.025557363
TMEM8B,0.025556838
PRELID1,0.025553912
FAM120B,0.025551312
JMJD4,0.025549533
RHOJ,0.025547776
RPL36,0.025546964
STT3B,0.025543125
APPL2,0.02554203
DDX46,0.02554134
NOL6,0.025540289
PFAS,0.025540063
KIAA1244,0.02553907
FAM168B,0.025537878
SDCBP,0.02553758
CKAP5,0.025534462
EFCAB4A,0.025533998
NEMF,0.025533473
OSBP,0.025531514
C3orf33,0.025531163
KCNN4,0.025530653
C15orf48,0.025526082
CA12,0.025524374
ADAMTS2,0.025522849
SLC25A46,0.025522111
TERF2,0.025521958
GIPC1,0.025521124
SNHG10,0.02552107
FBXW4,0.025519168
ZBTB48,0.025519142
AKR7A2,0.02551893
PLEKHG3,0.02551842
RAVER2,0.025517913
TRAPPC8,0.025517343
PRKAG1,0.025516592
UBQLN4,0.025516175
BAZ2B,0.025513977
ANAPC1,0.025513653
SERINC1,0.025512787
SLC12A9,0.025511237
TSC22D1,0.025509594
RPL4,0.025509091
SLC34A2,0.02550601
SFTPC,0.025505386
KDM5D,0.025504673
LIPH,0.025503764
HAUS1,0.02550239
RPAP3,0.025501957
TMEM119,0.025501857
LOC100131691,0.025501104
LDB2,0.025500773
PLEKHB1,0.025500689
OCIAD2,0.025500307
TRMT2B,0.025499098
TMEM140,0.025496481
RGL4,0.025495648
HIRIP3,0.025495492
NEK1,0.025495017
AMOTL1,0.025494851
SENP3-EIF4A1,0.025493613
CCT8,0.02549222
MAGED2,0.025491988
RASL12,0.025491983
ABTB2,0.025490526
RASSF9,0.025489772
RBM28,0.025487905
ANKRD50,0.025487388
SLC2A8,0.025485752
GRHPR,0.025485225
CROCCP2,0.025483215
ZDHHC21,0.025481666
USP37,0.025481308
KLHL36,0.025481194
AMOTL2,0.0254786
TMEM39B,0.025477657
CRY2,0.025477257
AGPAT2,0.025475943
FCF1,0.025475742
PCDH1,0.025475629
ZNF593,0.025475154
DUSP14,0.025475144
FBRS,0.025474513
DERA,0.02547169
PHGDH,0.025471201
AHNAK2,0.02547118
ZMYM3,0.025470585
SOS2,0.025470572
KRT16P2,0.02547053
ZNF844,0.025469778
DDX11,0.025469339
PTPMT1,0.025468852
INTS2,0.02546647
BIN2,0.025466094
SEC31B,0.025464235
ANKFY1,0.025463937
KRBA2,0.02546391
NACC1,0.02546216
DOCK11,0.025459936
RRN3P2,0.025459206
FAM96B,0.025458967
TGFBI,0.025456756
PLEKHG1,0.025456669
POT1,0.02545584
KCNS3,0.025455596
TACC2,0.025454491
TCEA2,0.025453575
SASS6,0.025453458
RNF185,0.025453346
B4GALT5,0.025452496
C11orf49,0.025452022
LRP11,0.025451569
PTPRF,0.025450986
SLC1A3,0.02545079
FAM91A1,0.025450671
FAM46C,0.025450597
DEF8,0.025450578
TAF6,0.025450332
C17orf62,0.02544955
MAP3K6,0.025449226
CD52,0.02544904
NAT9,0.025448885
KIAA0825,0.02544877
YEATS4,0.025447836
CRCP,0.025446901
ZFHX3,0.025444975
FAM114A1,0.02544379
MIER2,0.025442956
USP40,0.025442723
BTN3A3,0.025442334
AMMECR1,0.025441254
AVIL,0.025439354
ADIPOR1,0.02543783
ATXN7,0.025437634
AASDHPPT,0.025437564
THNSL1,0.025436556
FBXO8,0.025435934
CCDC86,0.025435358
DOK2,0.025434172
S100A8,0.025432741
CCDC120,0.025432697
IL27RA,0.025432622
FAM13A,0.02543224
BRD7,0.025431717
SLC25A44,0.025431605
C10orf128,0.025430953
CDKN2B,0.025430705
YES1,0.025430366
ZBTB42,0.02543009
PKIA,0.02543
ITM2A,0.02542981
DNAJA4,0.025429454
MFSD7,0.025429213
PAFAH1B3,0.025426982
BACH1,0.025426736
PKP3,0.025426066
SBNO2,0.02542543
PGAP3,0.02542493
FAM86DP,0.025424682
C1orf27,0.025424592
KDELC2,0.025423894
FAM60A,0.025423875
E2F3,0.025422683
SLC46A3,0.025421768
TMEM2,0.025421737
OSGEPL1,0.02542117
C16orf72,0.025419822
NCDN,0.025419628
FGFRL1,0.025418047
N4BP2,0.025417775
TOR1AIP1,0.025416974
TAF7,0.025416968
TECPR1,0.025416613
VWA5A,0.025416402
WDR36,0.025416361
TIPRL,0.025415542
RP9,0.025415272
FCER1G,0.025415123
BMP3,0.025414584
CSTF2T,0.025414
EDEM1,0.025413897
JAG2,0.025413303
PHF2,0.025413277
PRPF4B,0.025413001
USP3,0.025412558
CTDP1,0.025412524
ENTPD7,0.025412237
RNF115,0.0254114
CNNM3,0.025410762
SOCS7,0.02540943
ASB3,0.025409305
PHIP,0.025408983
PNRC1,0.025408471
SLC7A7,0.02540825
HARS2,0.025408119
DEAF1,0.02540788
HIC1,0.025407067
C1QTNF6,0.025406005
METTL17,0.025405975
C17orf85,0.025405636
RAB3IP,0.025405372
CD68,0.025404925
CCDC138,0.025404481
SLC12A7,0.02540353
TRPV2,0.025403323
CDC42EP2,0.025403151
NCOA2,0.025402648
TRMT6,0.025401229
SCML1,0.02540091
FTL,0.025400495
NFAT5,0.025399806
COQ4,0.025398383
SORBS2,0.025398292
SLC4A4,0.02539829
ZBTB10,0.025396356
HUWE1,0.025396345
ETS2,0.02539616
EPHA1,0.025394145
SEPHS2,0.025393927
RNF38,0.025393516
GPD1L,0.025392625
PASK,0.02539233
RHBDF2,0.025392063
YWHAQ,0.025390243
IFT20,0.025390064
GOLGA1,0.025389874
KLHL24,0.0253898
RRS1,0.025389707
ADAMTS12,0.025389524
LARP1,0.02538923
LACTB2,0.025387766
MEIS3P1,0.025387252
MBTD1,0.02538705
ISLR,0.025386306
NT5DC3,0.025385745
CLSTN1,0.025384774
COL27A1,0.02538429
SPIN3,0.02538406
WDR59,0.025383987
HRSP12,0.025382748
ARL2,0.025382398
TCEANC2,0.025382392
DNAJC18,0.025382044
PCIF1,0.0253818
TIGD7,0.025381694
MEAF6,0.025381275
FEZ2,0.025380934
OSTF1,0.025380857
PPP2R2D,0.025378758
ALMS1,0.025378667
SDHAP2,0.025378468
CRTC3,0.025378048
GFER,0.025377275
SLC29A3,0.025377145
ATP6V1D,0.02537701
LOC100130987,0.025376907
CPNE2,0.025375752
TIFA,0.025375733
PIGL,0.025375191
MRVI1,0.02537407
RPF2,0.025373578
KIAA0930,0.02537345
CRYGS,0.025373304
IKBIP,0.025371782
PGRMC1,0.025370957
LSM14A,0.025370596
USP38,0.02537025
XAF1,0.02536949
PRRG1,0.025368335
TP53I13,0.025367977
PSMG3,0.025367828
CNP,0.02536762
FMNL2,0.025366906
TXNIP,0.025366064
FAM172A,0.02536604
DDX18,0.025365794
ANKRD26,0.025364647
PIGB,0.025364514
PAPSS1,0.025364453
B4GALNT3,0.02536431
RRP36,0.025364159
C11orf48,0.02536404
GMNN,0.025363887
KCNA3,0.025363686
GMFB,0.025363594
ACP6,0.025363447
PLEKHM1,0.025363328
FKBP7,0.025363324
BCL7A,0.025363324
TSPAN15,0.02536297
P2RY10,0.025362967
DYX1C1-CCPG1,0.025362765
STON1,0.02536274
KCTD20,0.025361648
COPE,0.025361467
MAP2,0.025361145
LUZP1,0.025360975
FRMD8,0.025360906
EPPK1,0.025360337
TRIM59,0.025360135
PEAK1,0.025360117
DUS1L,0.02535952
LDOC1L,0.02535939
DONSON,0.025358925
LARS2,0.02535844
RBMS2,0.025358437
LNPEP,0.025357569
RNF169,0.025357338
FAHD2B,0.025357137
PARN,0.025356403
LYSMD2,0.025356209
POU2AF1,0.025355818
ARSB,0.025355594
KCTD1,0.025355585
C11orf63,0.025354533
PHRF1,0.025354413
ACSS2,0.025353255
DCTN1,0.025352342
EPM2AIP1,0.025351964
DYNLT1,0.025351765
ARL6IP6,0.02535164
C12orf61,0.025351532
KLF9,0.02535137
TIGD6,0.025351046
MANEA,0.025350926
TMEM14A,0.025350781
SGCB,0.025350654
DPCD,0.025349388
KLHL8,0.025349176
UBR2,0.02534913
HTATIP2,0.02534891
MZB1,0.02534878
ANKRD10,0.02534854
LUC7L3,0.025347913
SLC22A4,0.025347905
UCP2,0.025347857
GMIP,0.025346618
EFR3A,0.0253464
MEIS2,0.02534593
EID1,0.025345555
ALDH7A1,0.025344616
RNF138P1,0.025344482
C1orf112,0.02534318
PXDN,0.025343096
NDUFB3,0.025343047
C18orf8,0.025342582
CPZ,0.025342492
ABCC6,0.025341738
CCT6A,0.02534169
PNPO,0.025341155
ABCA13,0.02534087
AKAP1,0.025339985
PLIN2,0.025338652
GPBP1,0.025338376
TMEM45B,0.025337217
QSER1,0.025337128
ARHGAP42,0.025336735
CAB39L,0.025336538
OXR1,0.02533578
ABCA6,0.025335511
WDR88,0.02533532
TMEM222,0.02533522
ARIH1,0.02533456
ST20-MTHFS,0.025334476
LOC550643,0.025333917
SYTL4,0.025333194
CCDC146,0.025332691
CASP2,0.025332566
KCNIP4,0.025332121
ATXN7L3,0.02533158
IQCH,0.025330571
SPHK1,0.025330491
CTNNBL1,0.025330221
PRKCH,0.02532991
NFE2L2,0.025328754
PTER,0.025324345
TRPC6,0.025324335
PPP4R1L,0.025324116
DCUN1D1,0.025323994
PAQR3,0.02532317
POMT1,0.025323035
GRINA,0.025322584
FAM110C,0.025322521
METTL4,0.02532197
FAF1,0.025321098
CLYBL,0.025321009
SRGAP2,0.025320534
GABPB1,0.025320418
SLFN12L,0.025319574
TMCO3,0.025319375
EPB41L4A,0.02531931
SUGP2,0.025318613
TTC7B,0.025317071
ASF1A,0.025317065
LOC150776,0.025316441
UBN1,0.025316356
NAA10,0.02531601
LOC652276,0.025315879
FAM103A1,0.025314448
PCDH18,0.02531424
TBC1D7,0.025313888
ZFAND6,0.0253135
MAPRE1,0.025313027
HECTD3,0.025312785
ZSCAN22,0.02531111
C2orf42,0.025310049
CCDC24,0.025309948
PRICKLE4,0.02530971
BCL2L12,0.025309598
MTERFD3,0.02530956
ZNF630,0.025309175
UST,0.02530917
LRCH4,0.025307648
MMP28,0.025307408
RHOT2,0.025306942
TCEAL3,0.025306793
ILDR1,0.0253067
PLK4,0.02530654
ZC3H7B,0.025306499
C1orf52,0.025306499
LYPLAL1,0.025305996
LILRB3,0.025305955
GPRASP1,0.0253053
BLCAP,0.025303757
SIN3B,0.0253035
UNK,0.025303371
DNASE1L1,0.025303235
PNO1,0.025302917
DNAJC5,0.025302375
FRY,0.025302326
MTDH,0.025301969
BAHD1,0.025301697
UBLCP1,0.025301328
DBNL,0.025301248
SLC12A4,0.025300732
SACS,0.025299909
MUC15,0.025299639
GIMAP5,0.025299313
SLTM,0.025298962
CISD3,0.02529789
GPRC5B,0.02529787
LRG1,0.025297137
PIK3R4,0.025297021
ZNF438,0.025296679
PPM1F,0.025295889
STK32A,0.025295172
BTBD6,0.025295146
PALM2-AKAP2,0.025295055
KLHDC1,0.025294652
RIF1,0.02529457
ETFDH,0.025293672
USP11,0.025292745
FOXJ1,0.025292426
CIZ1,0.025291566
APOC1,0.025291057
EIF1AY,0.025290765
APOBEC3G,0.025290139
MFAP4,0.02529
ANKRD23,0.025289545
ZC3H14,0.025289407
SEL1L3,0.025289068
C16orf80,0.025287839
RGS1,0.025286948
MID1IP1,0.025286885
TMEM186,0.02528683
ANXA4,0.025286583
PATL1,0.025286559
RSU1,0.025286324
PIK3CA,0.025286185
ARMC9,0.025285399
C12orf43,0.025285242
TSPAN4,0.025285134
UBE3A,0.025285112
MPHOSPH8,0.025285004
UTP11L,0.025284765
PTPRA,0.025284445
TIMP2,0.025284411
ZNF879,0.025283784
SLC2A1,0.025283385
KIAA1841,0.025283106
PAQR7,0.025282972
PSENEN,0.025281822
BCL2L2,0.02528163
TMEM106B,0.025281308
STRA13,0.025280744
NISCH,0.025278896
UTP15,0.025278619
TMEM128,0.025278201
GSDMD,0.025277732
C3orf38,0.02527729
RCBTB2,0.02527622
