Term,Count,PValue,Genes,Fold Enrichment,Bonferroni,Benjamini,FDR
hsa05223:Non-small cell lung cancer,51,2.68E-35,"RB1, CDKN1A, ARAF, PIK3CD, CASP9, RASSF1, CCND1, AKT2, KIF5B, AKT3, AKT1, POLK, JAK3, HRAS, MAP2K1, MAP2K2, PDPK1, HGF, PRKCA, PIK3CA, RAF1, SOS1, MET, TP53, SOS2, PIK3R3, TGFA, PIK3R2, PIK3R1, FOXO3, STK4, EGFR, RXRA, ERBB2, E2F1, PLCG2, MAPK1, E2F3, BAK1, PLCG1, MAPK3, STAT5B, CDKN2A, BAD, STAT3, BRAF, CDK6, CDK4, BAX, KRAS, GRB2",4.020993702,8.61E-20,2.76E-34,6.24E-22
hsa05417:Lipid and atherosclerosis,117,1.48E-34,"NCF1, NCF2, NCF4, ICAM1, PYCARD, TBK1, AKT2, AKT3, TNFSF10, AKT1, MAP3K7, MAP2K3, MAP2K4, CYBB, PRKCA, CYBA, TICAM1, ERN1, TP53, ATF4, ITPR1, PIK3R3, LY96, PIK3R2, PIK3R1, HSP90B1, RAP1B, PPP3R1, RAP1A, IRAK1, CD14, PLCG1, MAP2K7, MAP2K6, LYN, HSPA8, XBP1, JUN, VCAM1, HSPA6, NFATC3, EIF2AK3, NFATC2, TNFRSF10A, HSPA2, EIF2S1, NFKB1, NFKBIA, BCL2, CYCS, CALM3, TAB2, TAB1, CALM1, CALM2, BCL2L1, CD40, PIK3CD, CXCL2, CASP9, IKBKB, PPP3CA, CASP7, PPP3CB, CASP8, PPP3CC, CASP3, CASP1, IKBKG, RAC1, JAK2, IKBKE, HRAS, VAV3, HSP90AA1, APAF1, CHUK, PDPK1, IL18, TRAF2, FOS, IRAK4, RHOA, VAV1, TNFRSF1A, VAV2, PLCB3, PLCB4, IRF3, PIK3CA, TRAF6, IRF7, TLR4, PLCB2, CAMK2D, ROCK2, RELA, HSPD1, CDC42, MAPK9, MAPK8, RXRA, CCL5, CCL3, MAPK1, CAMK2G, MAPK3, BAD, STAT3, MAPK14, MAPK12, MAPK13, MAPK10, MAPK11, BAX, FAS, KRAS",3.089179293,4.76E-32,4.32E-33,1.54E-33
hsa05131:Shigellosis,127,3.22E-34,"UBE2D3, ARPC5L, UBE2D1, ACTB, ACTG1, CRKL, PYCARD, TBK1, CAPNS1, AKT2, AKT3, CAPN2, AKT1, PLCE1, MAP3K7, SKP1, CAST, ACTN1, PRKCE, PRKCD, ACTN4, ATG12, RBX1, RRAGA, RRAGC, RRAGB, RRAGD, ELMO1, PRKCQ, RBCK1, UBE2V1, TLN1, UBA52, MYL9, SQSTM1, TP53, CUL1, ITPR1, PIK3R3, ITPR2, ITPR3, PIK3R2, PIK3R1, FOXO4, FOXO3, FOXO1, MYL12A, MYL12B, C3, SHARPIN, UBB, UBC, PLCG2, RIPK1, CD14, PLCG1, JUN, ARPC4, ARPC5, NFKB1, NFKBIA, ARPC2, ARPC3, BCL2, MDM2, UBE2N, TAB3, CYCS, TAB2, ATM, TAB1, BCL2L1, NFKBIB, ITGB1, GSK3A, ARF1, ARPC1B, ARPC1A, ILK, PIK3CD, RPTOR, IKBKB, CASP1, IKBKG, RAC1, CHUK, RIPK2, IL18, TRAF2, RHOA, TNFRSF1A, PLCB3, PLCB4, IRF3, PIK3CA, CTTN, TRAF6, HCLS1, PIK3C3, ITGA5, CRK, TLR4, PLCB2, CD44, RNF31, ROCK2, RELA, MALT1, EGFR, U2AF1L4, CDC42, MAPK9, MAPK8, CCL5, MAPK1, RPS27A, MAPK3, BNIP3, MAPK14, MAPK12, MAPK13, MAPK10, MAPK11, RPS6KB1, RPS6KB2, BAX, BCAR1",2.918787522,1.04E-31,8.63E-33,3.06E-33
hsa05165:Human papillomavirus infection,151,4.42E-33,"RB1, PPP2R2A, CCND3, TBK1, CCND1, PPP2R1B, CREB3L4, PPP2R1A, CREB3L1, AKT2, AKT3, CREB3L2, AKT1, EP300, ATP6V1E1, PRKACA, PRKACB, PDGFRB, IFNAR2, ATP6V1G1, MAP2K1, ATP6V0E1, MAP2K2, TSC1, TICAM1, COL4A2, COL4A1, COL4A4, COL4A3, COL4A5, MAML3, RAF1, ATP6V0D1, TP53, IFNAR1, ATP6V1A, NOTCH2, NOTCH3, TCF7, PIK3R3, PIK3R2, PIK3R1, PRKCZ, FOXO1, ATP6V1H, FADD, ATP6V1D, ATP6V1C1, ATP6V0A1, ATP6V1F, CREBBP, FN1, EIF2AK2, NFKB1, COL1A1, CDK6, COL1A2, CDK4, CDK2, MDM2, GNAS, GRB2, ATM, COL9A2, ATR, ITGB1, CDKN1A, CDKN1B, ITGB5, ITGB4, ITGB3, PTEN, PIK3CD, LAMC2, CHD4, TCIRG1, IKBKB, CASP8, PPP2R5E, CASP3, ITGAV, ITGB7, IKBKG, ITGB6, IKBKE, HRAS, JAK1, ATP6V0B, TBP, ATP6AP1, CHUK, ITGA3, ITGA2, ITGA1, PPP2R5B, PPP2R5A, PPP2R5D, TYK2, PPP2R5C, TNFRSF1A, RBL2, CCNA2, CREB3, CREB1, IRF3, PIK3CA, COL6A2, COL6A1, ATP6V1B2, ITGA7, COL6A6, ITGA6, ITGA5, SOS1, ATP6V0C, SOS2, IRF9, TLR3, ITGA9, CREB5, LAMA5, HDAC2, LAMA2, LAMA4, LAMA3, RELA, EGFR, PPP2CA, CDC42, PPP2CB, PPP2R3C, E2F1, MAPK1, BAK1, ATP6V0E2, MAPK3, TCF7L2, TCF7L1, LAMB3, BAD, LAMB2, STAT1, STAT2, PPP2R3A, RPS6KB1, PSMC1, RPS6KB2, BAX, FAS, CTNNB1, KRAS",2.589671437,1.42E-30,1.09E-31,3.87E-32
hsa05220:Chronic myeloid leukemia,62,5.69E-33,"RB1, CDKN1A, CDKN1B, ARAF, PIK3CD, CRKL, IKBKB, CCND1, MYC, AKT2, AKT3, AKT1, IKBKG, POLK, HRAS, MAP2K1, MAP2K2, CHUK, GAB2, TGFBR1, TGFBR2, PIK3CA, RAF1, SOS1, TP53, CRK, SOS2, SHC2, HDAC2, SHC3, SHC1, CTBP1, PIK3R3, PIK3R2, PIK3R1, CBL, RELA, ABL1, E2F1, MAPK1, E2F3, BAK1, MAPK3, STAT5B, TGFB2, SMAD4, TGFB1, SMAD3, TGFB3, CDKN2A, BAD, PTPN11, BRAF, NFKB1, NFKBIA, CDK6, CDK4, MDM2, BAX, KRAS, GRB2, BCL2L1",4.63098965,1.83E-30,1.22E-31,4.33E-32
hsa05212:Pancreatic cancer,62,5.69E-33,"RB1, CDKN1A, ARAF, PIK3CD, CASP9, IKBKB, CCND1, AKT2, AKT3, RAC2, AKT1, IKBKG, POLK, RAC1, JAK1, RALBP1, MAP2K1, CHUK, TGFBR1, TGFBR2, PIK3CA, RAF1, TP53, ARHGEF6, RALA, PIK3R3, TGFA, PIK3R2, PIK3R1, EGFR, RELA, PLD2, CDC42, MAPK9, MAPK8, ERBB2, E2F1, MAPK1, E2F3, BAK1, RALGDS, MAPK3, SMAD2, TGFB2, SMAD4, TGFB1, SMAD3, TGFB3, CDKN2A, BAD, STAT1, STAT3, BRAF, NFKB1, MAPK10, CDK6, RPS6KB1, CDK4, RPS6KB2, BAX, KRAS, BCL2L1",4.63098965,1.83E-30,1.22E-31,4.33E-32
hsa04926:Relaxin signaling pathway,84,1.58E-32,"ATF2, PIK3CD, ARRB1, ARRB2, CREB3L4, AKT2, CREB3L1, AKT3, CREB3L2, AKT1, PRKACA, PRKACB, HRAS, MAP2K4, MAP2K1, MAP2K2, MMP2, PRKCA, FOS, TGFBR1, TGFBR2, CREB3, PLCB3, PLCB4, CREB1, ADCY9, COL4A2, PIK3CA, COL4A1, COL4A4, COL4A3, COL4A5, RAF1, SOS1, PLCB2, SOS2, ATF4, CREB5, SHC2, SHC3, SHC1, ADCY4, GNAI3, PIK3R3, ADCY3, PIK3R2, PIK3R1, PRKCZ, ADCY7, EGFR, RELA, GNAI1, ADCY6, GNAI2, MAPK9, GNA15, MAPK8, GNG2, GNG5, MAPK1, MAP2K7, MAPK3, SMAD2, JUN, TGFB1, MAPK14, GNG12, GNG11, MAPK12, NFKB1, MAPK13, NFKBIA, MAPK10, COL1A1, MAPK11, COL3A1, COL1A2, GNB2, GNB1, GNB4, GNAS, KRAS, GRB2, GNB5",3.696453855,5.07E-30,3.17E-31,1.12E-31
hsa05145:Toxoplasmosis,77,3.15E-32,"ITGB1, CIITA, CD40, LAMC2, PIK3CG, CASP9, IKBKB, CASP8, CASP3, AKT2, AKT3, AKT1, IKBKG, JAK2, CCR5, MAP3K7, JAK1, MAP2K3, CHUK, IFNGR1, PDPK1, IFNGR2, TYK2, IRAK4, TNFRSF1A, TRAF6, ITGA6, TLR4, BIRC2, BIRC3, LAMA5, LAMA2, LAMA4, LAMA3, GNAI3, XIAP, LY96, RELA, GNAI1, GNAI2, PIK3R5, MAPK9, MAPK8, SOCS1, IRAK1, ALOX5, MAPK1, MAPK3, MAP2K6, HSPA8, TGFB2, TGFB1, LAMB3, TGFB3, IL10RB, BAD, LAMB2, STAT1, IL10RA, HSPA6, STAT3, HSPA2, MAPK14, MAPK12, NFKB1, MAPK13, NFKBIA, MAPK10, MAPK11, HLA-DPB1, BCL2, CYCS, TAB2, TAB1, HLA-DRB1, NFKBIB, BCL2L1",3.902729181,1.01E-29,5.95E-31,2.11E-31
hsa05170:Human immunodeficiency virus 1 infection,112,1.57E-31,"CRKL, TBK1, AKT2, AKT3, CFL1, CHEK1, AP1S1, AKT1, AP1S3, MAP3K7, SKP1, MAP2K3, MAP2K1, MAP2K2, AP1B1, PRKCA, RBX1, RAF1, CUL1, ITPR1, PIK3R3, ITPR2, ITPR3, PIK3R2, PIK3R1, CCNB2, CCNB1, PPP3R1, IRAK1, PLCG2, RIPK1, FADD, PLCG1, MAP2K7, AP1M1, MAP2K6, JUN, NFATC3, NFATC2, GNG12, GNG11, NFKB1, NFKBIA, GNAQ, GNB2, GNB1, BCL2, GNB4, CDK1, CYCS, CALM3, TAB2, ATM, CALR, GNB5, TAB1, CALM1, CALM2, ATR, BCL2L1, PIK3CD, CD3D, CASP9, IKBKB, PPP3CA, PPP3CB, CASP8, PPP3CC, CASP3, RAC2, IKBKG, RAC1, CCR5, HRAS, CHUK, TRAF2, FOS, IRAK4, TNFRSF1A, DDB1, IRF3, PIK3CA, TRAF6, CRK, TLR4, GNAI3, CXCR4, RELA, GNAI1, GNAI2, MAPK9, MAPK8, GNG2, GNG5, GNA11, MAPK1, BAK1, PAK2, PAK4, MAPK3, BAD, MAPK14, MAPK12, MAPK13, MAPK10, MAPK11, CD4, RPS6KB1, RPS6KB2, BAX, FAS, KRAS",2.999009731,5.03E-29,2.79E-30,9.92E-31
hsa05020:Prion disease,130,1.01E-30,"ATF2, NCF1, NDUFA11, NCF2, NDUFA12, NCF4, PSMD8, PSMD9, PSMD6, TUBB6, PSMD7, PSMD4, CREB3L4, TUBB3, PSMD2, CREB3L1, KIF5B, PSMD3, CREB3L2, PSMD1, PRKACA, PRKACB, CSNK2A2, PRKCD, CYBB, CYBA, SDHD, SDHB, TUBA4A, UQCRC1, ATF4, PSMD12, PSMD11, NDUFB10, UQCRB, PSMD14, NDUFB11, PSMD13, ITPR1, PIK3R3, ITPR2, CACNA1D, ITPR3, PIK3R2, CACNA1C, PIK3R1, KLC4, PPP3R1, NDUFV3, NDUFV2, HSPA8, CAV1, HSPA6, EIF2AK3, HSPA2, EIF2S1, CYCS, PIK3CD, CASP9, TUBA1C, PPP3CA, TUBA1B, PPP3CB, PPP3CC, CASP3, RAC2, UQCRFS1, RAC1, APAF1, NDUFC2, NDUFC1, PSMA5, PSMA6, CREB3, PSMA3, PSMA4, CREB1, TUBB2A, NDUFS8, NDUFS7, PSMA1, PIK3CA, PSMA2, NDUFS6, NDUFS5, NDUFS4, NDUFS2, CREB5, NDUFB9, NDUFB8, NDUFB7, NDUFB6, NDUFB4, NDUFB2, NDUFB1, UQCR11, COX5A, PSMA7, PSMB6, MAPK9, PSMB4, MAPK8, PSMB5, PSMB2, PSMB3, CCL5, PSMB1, MAPK1, FYN, MAPK3, NDUFA8, NDUFA6, BAD, NDUFA4, NDUFA3, NDUFA2, NDUFA1, MAPK14, MAPK12, MAPK13, MAPK10, MAPK11, PSMC5, PSMC6, PSMC3, PSMC4, PSMC1, PSMC2, NDUFAB1, BAX",2.703189043,3.26E-28,1.71E-29,6.09E-30
